vendor,model,size_class,host,intelligence_index,wh_per_query_central,wh_per_query_std,wh_per_query_low,wh_per_query_high,query_output_tokens,pue,cif_kgco2e_per_kwh,wue_site_l_per_kwh,water_ml_per_query,carbon_g_per_query,snapshot_date,wh_per_1k_output_tokens,method,confidence,featured
OpenAI,o3-mini (high),Medium,Azure,25.0,6.515388093800264,4.372761897111571,2.142626196688693,10.888149990911835,1500,1.12,0.34,0.3,30.08713144744193,2.2152319518920898,2026-08-12,4.343592062533509,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 mini (high),Medium,Azure,41.0,11.316428558360435,5.301337537236199,6.0150910211242365,16.617766095596636,1500,1.12,0.34,0.3,52.257650449857294,3.847585709842548,2026-08-12,7.544285705573624,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-4 Turbo,Large,Azure,,12.110177460492505,3.0189470674979715,9.091230392994532,15.129124527990477,1500,1.12,0.34,0.3,55.923069487202895,4.1174603365674525,2026-08-12,8.073451640328337,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 (medium),Large,Azure,42.0,13.730076832003746,7.662299475403081,6.067777356600665,21.392376307406828,1500,1.12,0.34,0.3,63.403533370645874,4.668226122881275,2026-08-12,9.153384554669165,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,o1,Large,Azure,31.0,18.85357217749644,10.77955125638648,8.074020921109959,29.63312343388292,1500,1.12,0.34,0.3,87.06310294822462,6.41021454034879,2026-08-12,12.56904811833096,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
OpenAI,GPT-5 (high),Large,Azure,45.0,21.31137546560928,8.966698504455637,12.344676961153644,30.278073970064916,1500,1.12,0.34,0.3,98.41288741797428,7.245867658307155,2026-08-12,14.20758364373952,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
OpenAI,o3-pro,Large,Azure,,37.47291840148998,13.284430639004729,24.18848776248525,50.7573490404947,1500,1.12,0.34,0.3,173.0445839040233,12.74079225650659,2026-08-12,24.981945600993317,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
xAI,Grok 3 mini Reasoning (high),Medium,xAI,32.0,2.9803106561018744,1.257247344856421,1.7230633112454534,4.237558000958296,1500,1.5,0.385,0.36,10.07941063893654,1.1474196025992218,2026-08-12,1.986873770734583,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
xAI,Grok 3 mini Reasoning (high) Fast,Medium,xAI,32.0,4.308280389032459,2.1400465363990206,2.168233852633438,6.448326925431479,1500,1.5,0.385,0.36,14.570604275707774,1.6586879497774965,2026-08-12,2.872186926021639,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,False
xAI,Grok 3 Fast,Large,xAI,25.0,10.60748689420942,8.306320464479201,2.301166429730218,18.913807358688622,1500,1.5,0.385,0.36,35.87452067621625,4.083882454270627,2026-08-12,7.071657929472946,"Estimated from API telemetry (Jegham et al. 2025 pipeline, Artificial Analysis benchmarks)",B,True
